71,Jocelyn Flores,XXXTENTACION,7843780,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2019-01-25,Global,2019-01-25,Global
72,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,7769520,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb,2019-01-25,Global,2019-01-25,Global
73,Body (feat. brando),Loud Luxury,7719123,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019-01-25,Global,2019-01-25,Global
74,Bubalu,Becky G,7691925,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-25,Global,2019-01-25,Global
75,Beautiful (feat. Camila Cabello),Bazzi,7568703,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019-01-25,Global,2019-01-25,Global
76,Let You Love Me,Rita Ora,7475195,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,2019-01-25,Global,2019-01-25,Global
77,2002,Anne-Marie,7447419,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019-01-25,Global,2019-01-25,Global
78,In My Feelings,Drake,7445971,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2019-01-25,Global,2019-01-25,Global
79,Reggaeton,J Balvin,7429241,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019-01-25,Global,2019-01-25,Global
80,Shape of You,Ed Sheeran,7372309,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019-01-25,Global,2019-01-25,Global
81,Nonstop,Drake,7294497,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,2019-01-25,Global,2019-01-25,Global
82,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,7277513,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV,2019-01-25,Global,2019-01-25,Global
83,breathin,Ariana Grande,7232610,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J,2019-01-25,Global,2019-01-25,Global
84,Say My Name,David Guetta,7057221,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,2019-01-25,Global,2019-01-25,Global
85,monster,21 Savage,7052322,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU,2019-01-25,Global,2019-01-25,Global
86,Nights Like This (feat. Ty Dolla $ign),Kehlani,7037371,https://open.spotify.com/track/7e4KQkp5ZR1gXCAalRjX6B,2019-01-25,Global,2019-01-25,Global
87,Undecided,Chris Brown,7013119,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx,2019-01-25,Global,2019-01-25,Global
88,Te Vi,Piso 21,7003480,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,2019-01-25,Global,2019-01-25,Global
89,Believer,Imagine Dragons,6988224,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2019-01-25,Global,2019-01-25,Global
90,Psycho (feat. Ty Dolla $ign),Post Malone,6940641,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,2019-01-25,Global,2019-01-25,Global
91,"Fire On Fire - From ""Watership Down""",Sam Smith,6936477,https://open.spotify.com/track/5rFj8OzffT0iggSjcBaeND,2019-01-25,Global,2019-01-25,Global
