92,Easier,5 Seconds of Summer,6794966,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ,2019-08-02,Global,2019-08-02,Global
93,High Hopes,Panic! At The Disco,6764199,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-08-02,Global,2019-08-02,Global
94,Boy With Luv (feat. Halsey),BTS,6720804,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,2019-08-02,Global,2019-08-02,Global
95,Time - Edit,NF,6720164,https://open.spotify.com/track/1gZFRYcPz3wKevEaNYRwfW,2019-08-02,Global,2019-08-02,Global
96,Believer,Imagine Dragons,6717874,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2019-08-02,Global,2019-08-02,Global
97,i love you,Billie Eilish,6642426,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc,2019-08-02,Global,2019-08-02,Global
98,Better Now,Post Malone,6605380,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019-08-02,Global,2019-08-02,Global
99,Find U Again (feat. Camila Cabello),Mark Ronson,6497931,https://open.spotify.com/track/5Uw7Dut2lZfexn3Y09swpf,2019-08-02,Global,2019-08-02,Global
100,EARFQUAKE,"Tyler, The Creator",6402096,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0,2019-08-02,Global,2019-08-02,Global
101,Rebota - Remix,Guaynaa,6376731,https://open.spotify.com/track/3dWpRjCmaHbroNahuSeX11,2019-08-02,Global,2019-08-02,Global
102,Si Supieras,Daddy Yankee,6329611,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu,2019-08-02,Global,2019-08-02,Global
103,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,6328802,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY,2019-08-02,Global,2019-08-02,Global
104,Girls Like You (feat. Cardi B),Maroon 5,6319933,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019-08-02,Global,2019-08-02,Global
105,Shotta Flow (Feat. Blueface) [Remix],NLE Choppa,6225016,https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS,2019-08-02,Global,2019-08-02,Global
106,Let Me Down Slowly,Alec Benjamin,6216641,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,2019-08-02,Global,2019-08-02,Global
107,On A Roll,Ashley O,6178610,https://open.spotify.com/track/56JyMaElW79S7TDWh1Zw1m,2019-08-02,Global,2019-08-02,Global
