77,Truth Hurts,Lizzo,8090225,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,2019-12-13,Global,2019-12-13,Global
78,Driving Home for Christmas - 2019 Remaster,Chris Rea,8086663,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R,2019-12-13,Global,2019-12-13,Global
79,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,8060333,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD,2019-12-13,Global,2019-12-13,Global
80,Sucker,Jonas Brothers,7939751,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,2019-12-13,Global,2019-12-13,Global
81,Into the Unknown,Idina Menzel,7755493,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W,2019-12-13,Global,2019-12-13,Global
82,"thank u, next",Ariana Grande,7685892,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,2019-12-13,Global,2019-12-13,Global
83,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,7557678,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw,2019-12-13,Global,2019-12-13,Global
84,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,7493911,https://open.spotify.com/track/07s9NNOT0sZQp7TyolLLgu,2019-12-13,Global,2019-12-13,Global
85,Piece Of Your Heart,MEDUZA,7465371,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,2019-12-13,Global,2019-12-13,Global
86,Hola - Remix,Dalex,7446726,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt,2019-12-13,Global,2019-12-13,Global
87,The Christmas Song (Merry Christmas To You),Nat King Cole,7415696,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON,2019-12-13,Global,2019-12-13,Global
88,Aventura,Lunay,7391470,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon,2019-12-13,Global,2019-12-13,Global
89,White Christmas,Bing Crosby,7390998,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW,2019-12-13,Global,2019-12-13,Global
90,No Guidance (feat. Drake),Chris Brown,7350933,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,2019-12-13,Global,2019-12-13,Global
91,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,7305061,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,2019-12-13,Global,2019-12-13,Global
92,Dancing With A Stranger (with Normani),Sam Smith,7277167,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019-12-13,Global,2019-12-13,Global
93,Bohemian Rhapsody - 2011 Mix,Queen,7255530,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,2019-12-13,Global,2019-12-13,Global
94,Soltera - Remix,Lunay,7243740,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z,2019-12-13,Global,2019-12-13,Global
95,Yellow Hearts,Ant Saunders,7222376,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl,2019-12-13,Global,2019-12-13,Global
96,SICKO MODE,Travis Scott,7165876,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-12-13,Global,2019-12-13,Global
97,Believer,Imagine Dragons,7163275,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2019-12-13,Global,2019-12-13,Global
98,bad vibes forever,XXXTENTACION,7148151,https://open.spotify.com/track/03eJ2DclFWXYU8GWgANdmZ,2019-12-13,Global,2019-12-13,Global
99,Money In The Grave (Drake ft. Rick Ross),Drake,7141173,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,2019-12-13,Global,2019-12-13,Global
100,Mean It,Lauv,7131528,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX,2019-12-13,Global,2019-12-13,Global
101,Lean Wit Me,Juice WRLD,7126666,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa,2019-12-13,Global,2019-12-13,Global
102,rockstar (feat. 21 Savage),Post Malone,7120933,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019-12-13,Global,2019-12-13,Global
103,Ransom (with Juice WRLD) - Remix,Lil Tecca,7044069,https://open.spotify.com/track/2WsuSYJNXGKXVYkHPnq2yp,2019-12-13,Global,2019-12-13,Global
104,Indeciso,Reik,7043721,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14,2019-12-13,Global,2019-12-13,Global
105,Family,The Chainsmokers,7042574,https://open.spotify.com/track/3TKpJrY9q49Mj1JOsM9zGL,2019-12-13,Global,2019-12-13,Global
106,bury a friend,Billie Eilish,7038535,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF,2019-12-13,Global,2019-12-13,Global
107,Quizas,Rich Music LTD,7033236,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe,2019-12-13,Global,2019-12-13,Global
108,Sweet but Psycho,Ava Max,7015342,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-12-13,Global,2019-12-13,Global
109,Con Calma,Daddy Yankee,6960979,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019-12-13,Global,2019-12-13,Global
110,SAD!,XXXTENTACION,6946267,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019-12-13,Global,2019-12-13,Global
111,Armed And Dangerous,Juice WRLD,6933280,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX,2019-12-13,Global,2019-12-13,Global
112,Tutu,Camilo,6840888,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ,2019-12-13,Global,2019-12-13,Global
113,Si Te Vas,Sech,6835817,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0,2019-12-13,Global,2019-12-13,Global
114,KEIN SCHLAF,Nimo,6818219,https://open.spotify.com/track/6416zJN0FGPmh1Ph4BH2h3,2019-12-13,Global,2019-12-13,Global
115,"Yo x Ti, Tu x Mi",ROSALÍA,6783542,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk,2019-12-13,Global,2019-12-13,Global
116,Graveyard,Halsey,6773840,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2,2019-12-13,Global,2019-12-13,Global
117,A Holly Jolly Christmas - Single Version,Burl Ives,6682583,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe,2019-12-13,Global,2019-12-13,Global
118,Have Yourself A Merry Little Christmas,Sam Smith,6680058,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K,2019-12-13,Global,2019-12-13,Global
119,Shape of You,Ed Sheeran,6661850,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019-12-13,Global,2019-12-13,Global
120,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,6659094,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd,2019-12-13,Global,2019-12-13,Global
121,Eastside (with Halsey & Khalid),benny blanco,6635076,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019-12-13,Global,2019-12-13,Global
122,Look At Her Now,Selena Gomez,6613936,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m,2019-12-13,Global,2019-12-13,Global
123,Con Altura,ROSALÍA,6501586,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM,2019-12-13,Global,2019-12-13,Global
124,Panini,Lil Nas X,6478801,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv,2019-12-13,Global,2019-12-13,Global
125,Talk (feat. Disclosure),Khalid,6451149,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,2019-12-13,Global,2019-12-13,Global
126,Merry Christmas Everyone,Shakin' Stevens,6441388,https://open.spotify.com/track/4rRIovg4TvxLUiUrpGI6lE,2019-12-13,Global,2019-12-13,Global
127,Sleigh Ride,The Ronettes,6418377,https://open.spotify.com/track/1ODZGydlown4VesUP8HLJX,2019-12-13,Global,2019-12-13,Global
128,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,6401586,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg,2019-12-13,Global,2019-12-13,Global
129,Up All Night,Khalid,6393458,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74,2019-12-13,Global,2019-12-13,Global
130,High Hopes,Panic! At The Disco,6389642,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-12-13,Global,2019-12-13,Global
131,Ballin' (with Roddy Ricch),Mustard,6382873,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,2019-12-13,Global,2019-12-13,Global
132,223's (feat. 9lokknine),YNW Melly,6381121,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T,2019-12-13,Global,2019-12-13,Global
133,Girls Like You (feat. Cardi B),Maroon 5,6347836,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019-12-13,Global,2019-12-13,Global
134,COLT,Samra,6342388,https://open.spotify.com/track/76IVpz47q3ghkxoUeTTEKb,2019-12-13,Global,2019-12-13,Global
135,Better Now,Post Malone,6332615,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019-12-13,Global,2019-12-13,Global
136,SUGA's Interlude,Halsey,6288633,https://open.spotify.com/track/5a0nHa7F4S9hb0Zi0zLS8w,2019-12-13,Global,2019-12-13,Global
137,Woah,Lil Baby,6197899,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F,2019-12-13,Global,2019-12-13,Global
138,MIDDLE CHILD,J. Cole,6106422,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019-12-13,Global,2019-12-13,Global
139,Say You Won't Let Go,James Arthur,6095850,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2019-12-13,Global,2019-12-13,Global
140,Calma - Remix,Pedro Capó,6045045,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-12-13,Global,2019-12-13,Global
141,If I Can't Have You,Shawn Mendes,6017933,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh,2019-12-13,Global,2019-12-13,Global
142,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,6011194,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa,2019-12-13,Global,2019-12-13,Global
143,Jocelyn Flores,XXXTENTACION,5960468,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2019-12-13,Global,2019-12-13,Global
144,The London (feat. J. Cole & Travis Scott),Young Thug,5925107,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n,2019-12-13,Global,2019-12-13,Global
145,Fairytale of New York (feat. Kirsty MacColl),The Pogues,5900507,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK,2019-12-13,Global,2019-12-13,Global
146,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,5875574,https://open.spotify.com/track/6pVW5LRWgeLaHudxauOTJU,2019-12-13,Global,2019-12-13,Global
147,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,5874917,https://open.spotify.com/track/56AMYGJzxBO6p8v0wEe9de,2019-12-13,Global,2019-12-13,Global
148,Perfect,Ed Sheeran,5869196,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2019-12-13,Global,2019-12-13,Global
149,Santa Claus Is Coming to Town,Michael Bublé,5848657,https://open.spotify.com/track/5Ber68jZ7ytegr2UISEdb7,2019-12-13,Global,2019-12-13,Global
150,Youngblood,5 Seconds of Summer,5822900,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019-12-13,Global,2019-12-13,Global
151,QUE PRETENDES,J Balvin,5821922,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,2019-12-13,Global,2019-12-13,Global
152,Be Alright,Dean Lewis,5796184,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy,2019-12-13,Global,2019-12-13,Global
153,Suge,DaBaby,5757913,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,2019-12-13,Global,2019-12-13,Global
154,11 PM,Maluma,5747565,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,2019-12-13,Global,2019-12-13,Global
155,Stuck In A Dream (feat. Gunna),Lil Mosey,5727049,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ,2019-12-13,Global,2019-12-13,Global
156,Takeaway,The Chainsmokers,5724546,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw,2019-12-13,Global,2019-12-13,Global
157,goosebumps,Travis Scott,5716800,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,2019-12-13,Global,2019-12-13,Global
158,Bruises,Lewis Capaldi,5703863,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG,2019-12-13,Global,2019-12-13,Global
159,Otro Trago - Remix,Sech,5698787,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL,2019-12-13,Global,2019-12-13,Global
160,Higher Love,Kygo,5680456,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,2019-12-13,Global,2019-12-13,Global
161,LOYAL (feat. Drake),PARTYNEXTDOOR,5678936,https://open.spotify.com/track/5bvnqVuq7UFl0txSlHpsfS,2019-12-13,Global,2019-12-13,Global
162,i'm so tired...,Lauv,5672114,https://open.spotify.com/track/2iwS33Jfev1QBiuhWVWZHY,2019-12-13,Global,2019-12-13,Global
163,Don't Call Me Up,Mabel,5647097,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,2019-12-13,Global,2019-12-13,Global
164,Let Me Down Slowly,Alec Benjamin,5632480,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,2019-12-13,Global,2019-12-13,Global
165,Get You The Moon (feat. Snøw),Kina,5632328,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa,2019-12-13,Global,2019-12-13,Global
166,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,5627487,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6,2019-12-13,Global,2019-12-13,Global
167,Christmas Tree Farm,Taylor Swift,5618175,https://open.spotify.com/track/2mvabkN1i2gLnGAPUVdwek,2019-12-13,Global,2019-12-13,Global
168,Moonlight,XXXTENTACION,5613206,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019-12-13,Global,2019-12-13,Global
169,Tip Toe (feat. A Boogie Wit da Hoodie),Roddy Ricch,5607349,https://open.spotify.com/track/6ztvsy3C6hPjVg9j4x1XKJ,2019-12-13,Global,2019-12-13,Global
170,Ne reviens pas,Gradur,5590373,https://open.spotify.com/track/4TnFANpjVwVKWzkxNzIyFH,2019-12-13,Global,2019-12-13,Global
171,Candy,Doja Cat,5581014,https://open.spotify.com/track/1VJwtWR6z7SpZRwipI12be,2019-12-13,Global,2019-12-13,Global
172,Christmas (Baby Please Come Home),Mariah Carey,5560330,https://open.spotify.com/track/3PIDciSFdrQxSQSihim3hN,2019-12-13,Global,2019-12-13,Global
173,VIBEZ,DaBaby,5552604,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM,2019-12-13,Global,2019-12-13,Global
174,Bellaquita - Remix,Dalex,5546969,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA,2019-12-13,Global,2019-12-13,Global
175,Blue Christmas,Elvis Presley,5530085,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ,2019-12-13,Global,2019-12-13,Global
176,I Like Me Better,Lauv,5522412,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2019-12-13,Global,2019-12-13,Global
177,If the World Was Ending - feat. Julia Michaels,JP Saxe,5521624,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,2019-12-13,Global,2019-12-13,Global
178,Ex Bitch,XXXTENTACION,5500157,https://open.spotify.com/track/40KuvsFD0zpUFuCcmt5Xm0,2019-12-13,Global,2019-12-13,Global
179,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,5441108,https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0,2019-12-13,Global,2019-12-13,Global
