70,rockstar (feat. 21 Savage),Post Malone,7893957,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019-04-26,Global,2019-04-26,Global
71,Paradise,Bazzi,7636205,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG,2019-04-26,Global,2019-04-26,Global
72,Piece Of Your Heart,MEDUZA,7549833,https://open.spotify.com/track/5p1ex0pXv6jSPJ6QbumQpD,2019-04-26,Global,2019-04-26,Global
73,Robbery,Juice WRLD,7538667,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,2019-04-26,Global,2019-04-26,Global
74,MONOPOLY (with Victoria Monét),Ariana Grande,7477486,https://open.spotify.com/track/6tsOcBnaKgzK22yEiqRh8P,2019-04-26,Global,2019-04-26,Global
75,Look Back at It,A Boogie Wit da Hoodie,7468811,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019-04-26,Global,2019-04-26,Global
76,Contra La Pared,Sean Paul,7453101,https://open.spotify.com/track/3JjaofJ0lCeEsFSZqppzOp,2019-04-26,Global,2019-04-26,Global
77,Lucid Dreams,Juice WRLD,7380353,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019-04-26,Global,2019-04-26,Global
78,Bad Liar,Imagine Dragons,7329343,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019-04-26,Global,2019-04-26,Global
79,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,7321743,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019-04-26,Global,2019-04-26,Global
80,Mixed Personalities (feat. Kanye West),YNW Melly,7304542,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL,2019-04-26,Global,2019-04-26,Global
81,Saturday Nights,Khalid,7144358,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019-04-26,Global,2019-04-26,Global
82,Un Año,Sebastian Yatra,7120498,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0,2019-04-26,Global,2019-04-26,Global
83,SAD!,XXXTENTACION,7063831,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019-04-26,Global,2019-04-26,Global
84,Ella Quiere Beber - Remix,Anuel AA,7028045,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw,2019-04-26,Global,2019-04-26,Global
85,Shape of You,Ed Sheeran,7024942,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019-04-26,Global,2019-04-26,Global
86,Please Me,Cardi B,6907543,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN,2019-04-26,Global,2019-04-26,Global
87,Amanece,Anuel AA,6742844,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019-04-26,Global,2019-04-26,Global
88,Youngblood,5 Seconds of Summer,6730253,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019-04-26,Global,2019-04-26,Global
89,Walk Me Home,P!nk,6720883,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE,2019-04-26,Global,2019-04-26,Global
90,Esclavo de Tus Besos,Manuel Turizo,6663535,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX,2019-04-26,Global,2019-04-26,Global
91,Sixteen,Ellie Goulding,6655697,https://open.spotify.com/track/4PkIDTPGedm0enzdvilLNd,2019-04-26,Global,2019-04-26,Global
92,Just You and I,Tom Walker,6571291,https://open.spotify.com/track/03x2rVJRFUrvwlfxoHd9Mo,2019-04-26,Global,2019-04-26,Global
93,Moonlight,XXXTENTACION,6545280,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019-04-26,Global,2019-04-26,Global
94,Drip Too Hard (Lil Baby & Gunna),Lil Baby,6488884,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019-04-26,Global,2019-04-26,Global
95,a lot,21 Savage,6423840,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2019-04-26,Global,2019-04-26,Global
96,Always Remember Us This Way,Lady Gaga,6404700,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,2019-04-26,Global,2019-04-26,Global
97,Envy Me,Calboy,6389259,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX,2019-04-26,Global,2019-04-26,Global
98,i love you,Billie Eilish,6349650,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc,2019-04-26,Global,2019-04-26,Global
99,Don't Stop Me Now - 2011 Mix,Queen,6298238,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,2019-04-26,Global,2019-04-26,Global
100,Believer,Imagine Dragons,6293849,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2019-04-26,Global,2019-04-26,Global
101,Thotiana,Blueface,6252642,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G,2019-04-26,Global,2019-04-26,Global
102,Faucet Failure,Ski Mask The Slump God,6247858,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN,2019-04-26,Global,2019-04-26,Global
103,3 Nights,Dominic Fike,6243515,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u,2019-04-26,Global,2019-04-26,Global
104,2002,Anne-Marie,6241836,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019-04-26,Global,2019-04-26,Global
105,In My Mind,Dynoro,6234379,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-04-26,Global,2019-04-26,Global
106,Que Mas Pues - Remix,Sech,6216109,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD,2019-04-26,Global,2019-04-26,Global
107,idontwannabeyouanymore,Billie Eilish,6147108,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu,2019-04-26,Global,2019-04-26,Global
