64,If I Can't Have You,Shawn Mendes,8445093,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh,2019-09-13,Global,2019-09-13,Global
65,hot girl bummer,blackbear,8266339,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,2019-09-13,Global,2019-09-13,Global
66,lovely (with Khalid),Billie Eilish,8257652,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,2019-09-13,Global,2019-09-13,Global
67,Happier,Marshmello,8208760,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-09-13,Global,2019-09-13,Global
68,Con Calma,Daddy Yankee,8057732,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019-09-13,Global,2019-09-13,Global
69,Talk (feat. Disclosure),Khalid,7943396,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,2019-09-13,Global,2019-09-13,Global
70,I.F.L.Y.,Bazzi,7918664,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD,2019-09-13,Global,2019-09-13,Global
71,when the party's over,Billie Eilish,7859348,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,2019-09-13,Global,2019-09-13,Global
72,rockstar (feat. 21 Savage),Post Malone,7616911,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019-09-13,Global,2019-09-13,Global
73,SICKO MODE,Travis Scott,7479893,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-09-13,Global,2019-09-13,Global
74,Kein Plan,Loredana,7390914,https://open.spotify.com/track/1skUhc3JS3jLCfugI3gm41,2019-09-13,Global,2019-09-13,Global
75,One Thing Right,Marshmello,7287661,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4,2019-09-13,Global,2019-09-13,Global
76,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,7266121,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45,2019-09-13,Global,2019-09-13,Global
77,Cruel Summer,Taylor Swift,7265268,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,2019-09-13,Global,2019-09-13,Global
78,Bad Bad Bad (feat. Lil Baby),Young Thug,7221858,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH,2019-09-13,Global,2019-09-13,Global
79,Post Malone (feat. RANI),Sam Feldt,7195957,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL,2019-09-13,Global,2019-09-13,Global
80,Without Me,Halsey,7180159,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-09-13,Global,2019-09-13,Global
81,Bohemian Rhapsody - 2011 Mix,Queen,7119959,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,2019-09-13,Global,2019-09-13,Global
82,Huracan,Samra,7109307,https://open.spotify.com/track/6AFIVhbJLR7YVvW9fLFMu1,2019-09-13,Global,2019-09-13,Global
83,Did It Again,Lil Tecca,7104646,https://open.spotify.com/track/6alCTRgBPoeAFi2N4il9Q4,2019-09-13,Global,2019-09-13,Global
84,Suge,DaBaby,7093323,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,2019-09-13,Global,2019-09-13,Global
85,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,7065662,https://open.spotify.com/track/5N1o6d8zGcSZSeMFkOUQOk,2019-09-13,Global,2019-09-13,Global
86,Baby (Lil Baby feat. DaBaby),Quality Control,7006606,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J,2019-09-13,Global,2019-09-13,Global
87,Si Se Da - Remix,Myke Towers,6945595,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD,2019-09-13,Global,2019-09-13,Global
88,Dancing With A Stranger (with Normani),Sam Smith,6901999,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019-09-13,Global,2019-09-13,Global
89,Otro Trago,Sech,6878798,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr,2019-09-13,Global,2019-09-13,Global
90,Roller,Apache 207,6765031,https://open.spotify.com/track/5dhQeuLGmlhfwlI6BWfSpo,2019-09-13,Global,2019-09-13,Global
91,Eastside (with Halsey & Khalid),benny blanco,6761551,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019-09-13,Global,2019-09-13,Global
92,Hot (feat. Gunna),Young Thug,6758013,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9,2019-09-13,Global,2019-09-13,Global
93,Old Town Road,Lil Nas X,6752389,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH,2019-09-13,Global,2019-09-13,Global
94,Better Now,Post Malone,6745849,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019-09-13,Global,2019-09-13,Global
95,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,6700349,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,2019-09-13,Global,2019-09-13,Global
96,3 Nights,Dominic Fike,6687061,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u,2019-09-13,Global,2019-09-13,Global
97,Calma - Remix,Pedro Capó,6677747,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-09-13,Global,2019-09-13,Global
98,Never Really Over,Katy Perry,6630045,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0,2019-09-13,Global,2019-09-13,Global
99,Goteo,Duki,6619223,https://open.spotify.com/track/1EoEU4HY57qaITp06TkC6B,2019-09-13,Global,2019-09-13,Global
100,Sweet but Psycho,Ava Max,6585811,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-09-13,Global,2019-09-13,Global
101,bad guy (with Justin Bieber),Billie Eilish,6563013,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT,2019-09-13,Global,2019-09-13,Global
102,"thank u, next",Ariana Grande,6547854,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,2019-09-13,Global,2019-09-13,Global
103,Instagram,Dimitri Vegas & Like Mike,6543231,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S,2019-09-13,Global,2019-09-13,Global
104,Verte Ir,DJ Luian,6526153,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR,2019-09-13,Global,2019-09-13,Global
105,Ransom (with Juice WRLD) - Remix,Lil Tecca,6489585,https://open.spotify.com/track/0DZJACISivjWjscIp5Kg1q,2019-09-13,Global,2019-09-13,Global
106,Believer,Imagine Dragons,6480432,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2019-09-13,Global,2019-09-13,Global
107,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dímelo Flow,6425140,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL,2019-09-13,Global,2019-09-13,Global
108,Love Me,Lil Tecca,6404934,https://open.spotify.com/track/3TLwAp3uX1nKsVxrDhNPOL,2019-09-13,Global,2019-09-13,Global
109,Rescue Me,OneRepublic,6334695,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM,2019-09-13,Global,2019-09-13,Global
110,Te Robaré,Nicky Jam,6321301,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw,2019-09-13,Global,2019-09-13,Global
111,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,6309304,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo,2019-09-13,Global,2019-09-13,Global
112,Wanted,OneRepublic,6185171,https://open.spotify.com/track/6hLkeOMrhZ2CMLBp2of576,2019-09-13,Global,2019-09-13,Global
113,bury a friend,Billie Eilish,6166228,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF,2019-09-13,Global,2019-09-13,Global
114,Shape of You,Ed Sheeran,6161468,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019-09-13,Global,2019-09-13,Global
115,Tal Vez,Paulo Londra,6027837,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI,2019-09-13,Global,2019-09-13,Global
116,Pop Out (feat. Lil Tjay),Polo G,6001204,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1,2019-09-13,Global,2019-09-13,Global
117,Let Me Down Slowly,Alec Benjamin,5974121,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,2019-09-13,Global,2019-09-13,Global
118,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,5952272,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA,2019-09-13,Global,2019-09-13,Global
119,goosebumps,Travis Scott,5936222,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,2019-09-13,Global,2019-09-13,Global
120,Girls Like You (feat. Cardi B),Maroon 5,5915814,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019-09-13,Global,2019-09-13,Global
121,I Forgot That You Existed,Taylor Swift,5912341,https://open.spotify.com/track/43rA71bccXFGD4C8GOpIlN,2019-09-13,Global,2019-09-13,Global
122,High Hopes,Panic! At The Disco,5906403,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-09-13,Global,2019-09-13,Global
