1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,34579416,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-18,Global,Week,Region
81,Psycho (feat. Ty Dolla $ign),Post Malone,7348086,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,2019-01-18,Global,2019-01-18,Global
82,2002,Anne-Marie,7331201,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019-01-18,Global,2019-01-18,Global
83,Reggaeton,J Balvin,7281169,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019-01-18,Global,2019-01-18,Global
84,NI BIEN NI MAL,Bad Bunny,7232434,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,2019-01-18,Global,2019-01-18,Global
85,One Kiss (with Dua Lipa),Calvin Harris,7194264,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,2019-01-18,Global,2019-01-18,Global
86,DODI,Shindy,7149748,https://open.spotify.com/track/63THFs9ovzO3WQsz4lzh0H,2019-01-18,Global,2019-01-18,Global
87,Say My Name,David Guetta,7040867,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,2019-01-18,Global,2019-01-18,Global
88,Believer,Imagine Dragons,7036580,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2019-01-18,Global,2019-01-18,Global
89,MALA,6ix9ine,6902529,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE,2019-01-18,Global,2019-01-18,Global
90,Solo (feat. Demi Lovato),Clean Bandit,6887146,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h,2019-01-18,Global,2019-01-18,Global
91,YOSEMITE,Travis Scott,6874391,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR,2019-01-18,Global,2019-01-18,Global
92,BAD!,XXXTENTACION,6827624,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ,2019-01-18,Global,2019-01-18,Global
93,Another One Bites The Dust - Remastered 2011,Queen,6816574,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,2019-01-18,Global,2019-01-18,Global
94,IDGAF,Dua Lipa,6787896,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,2019-01-18,Global,2019-01-18,Global
95,BEBE,6ix9ine,6764451,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2019-01-18,Global,2019-01-18,Global
96,No Stylist (feat. Drake),French Montana,6701673,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A,2019-01-18,Global,2019-01-18,Global
97,Armed And Dangerous,Juice WRLD,6686664,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX,2019-01-18,Global,2019-01-18,Global
98,Perfect,Ed Sheeran,6634648,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2019-01-18,Global,2019-01-18,Global
99,Don't Stop Me Now - 2011 Mix,Queen,6579756,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,2019-01-18,Global,2019-01-18,Global
100,I Like Me Better,Lauv,6496404,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2019-01-18,Global,2019-01-18,Global
101,Te Boté - Remix,Nio Garcia,6479114,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,2019-01-18,Global,2019-01-18,Global
102,Havana (feat. Young Thug),Camila Cabello,6449413,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,2019-01-18,Global,2019-01-18,Global
103,Falling Down - Bonus Track,Lil Peep,6377858,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9,2019-01-18,Global,2019-01-18,Global
104,Roses (with Juice WRLD feat. Brendon Urie),benny blanco,6367254,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47,2019-01-18,Global,2019-01-18,Global
105,Shotgun,George Ezra,6262760,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,2019-01-18,Global,2019-01-18,Global
106,Jenifer,Gabriel Diniz,6196720,https://open.spotify.com/track/5ixqGGFu0hdHfErdp32QwT,2019-01-18,Global,2019-01-18,Global
107,Thunder,Imagine Dragons,6193070,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,2019-01-18,Global,2019-01-18,Global
108,Happy Now,Kygo,6186566,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4,2019-01-18,Global,2019-01-18,Global
