11,Adan y Eva,Paulo Londra,16779675.0,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ZEZE (feat. Travis Scott & Offset),Kodak Black,16760203.0,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Going Bad (feat. Drake),Meek Mill,16204182.0,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,High Hopes,Panic! At The Disco,14787522.0,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Shallow,Lady Gaga,13959172.0,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Eastside (with Halsey & Khalid),benny blanco,13551083.0,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Mo Bamba,Sheck Wes,13358031.0,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Girls Like You (feat. Cardi B),Maroon 5,12971076.0,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,imagine,Ariana Grande,12846216.0,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Drip Too Hard (Lil Baby & Gunna),Lil Baby,12821151.0,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,12674714.0,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Better Now,Post Malone,12581757.0,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,12335749.0,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,SAD!,XXXTENTACION,12035281.0,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,when the party's over,Billie Eilish,12003782.0,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Lucid Dreams,Juice WRLD,12002754.0,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,In My Mind,Dynoro,11899987.0,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Bohemian Rhapsody - 2011 Mix,Queen,11843007.0,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Better,Khalid,11506208.0,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,11457047.0,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,I Like It,Cardi B,10986025.0,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,rockstar (feat. 21 Savage),Post Malone,10738196.0,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Be Alright,Dean Lewis,10630130.0,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Ella Quiere Beber - Remix,Anuel AA,10558659.0,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Promises (with Sam Smith),Calvin Harris,10550614.0,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,God's Plan,Drake,10251850.0,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Moonlight,XXXTENTACION,10148769.0,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Solo de Mi,Bad Bunny,10096032.0,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Saturday Nights,Khalid,10067968.0,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Leave Me Alone,Flipp Dinero,9919193.0,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Vaina Loca,Ozuna,9610556.0,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Adictiva,Daddy Yankee,9430390.0,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Youngblood,5 Seconds of Summer,9362217.0,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Wake Up in the Sky,Gucci Mane,9333229.0,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,whoa (mind in awe),XXXTENTACION,9309724.0,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Taste (feat. Offset),Tyga,9201890.0,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,monster,21 Savage,9056278.0,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bad Liar,Imagine Dragons,9035253.0,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,In My Feelings,Drake,8967851.0,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,One Kiss (with Dua Lipa),Calvin Harris,8961013.0,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Ruin My Life,Zara Larsson,8958749.0,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Look Back at It,A Boogie Wit da Hoodie,8627221.0,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Kiss and Make Up,Dua Lipa,8625735.0,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,a lot,21 Savage,8479403.0,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,lovely,Billie Eilish,8196083.0,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,BEBE,6ix9ine,8126353.0,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Shape of You,Ed Sheeran,8119134.0,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Desconocidos,Mau y Ricky,8078078.0,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Money,Cardi B,8030937.0,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Nonstop,Drake,7842624.0,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,KIKA,6ix9ine,7790428.0,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Body (feat. brando),Loud Luxury,7705347.0,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Solo (feat. Demi Lovato),Clean Bandit,7694152.0,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h,2019-01-04,Global,2019-01-04,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
