,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
48,"Si Estuviésemos Juntos","Bad Bunny",29152,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
49,"Puntos Suspensivos","Piso 21",28471,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv
50,Déjalo,Nacho,28012,https://open.spotify.com/track/4VTTpwcAxVSQNzEZLi75d0
51,"Amigos Con Derechos",Reik,27105,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
52,Sola,"Luis Fonsi",25944,https://open.spotify.com/track/0mtdxzBRDbueLFpiwpbHKO
53,"Ya No Tiene Novio","Sebastian Yatra",25595,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
54,"Forever Alone","Paulo Londra",24937,https://open.spotify.com/track/5NPzbTzFxIQPaheZuPhn4f
55,Cumpleaños,Sech,24908,https://open.spotify.com/track/6xBV9IPuFJmy1bzeEaePdJ
56,BEBE,6ix9ine,24550,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn
57,"break up with your girlfriend, i'm bored","Ariana Grande",24384,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
58,"thank u, next","Ariana Grande",23436,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
59,"Quiere Beber","Anuel AA",23315,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
60,"Que Le De","Rauw Alejandro",23292,https://open.spotify.com/track/08aYFNUTIOMGq93e2VSArQ
61,"Te Busco",Sech,23126,https://open.spotify.com/track/7AyXdBQAgRLJBK72gqq0Hz
62,"Otra Noche en Miami","Bad Bunny",22788,https://open.spotify.com/track/4vCAzANUWDE24URV6wQ4ra
63,Ojalá,Sech,22372,https://open.spotify.com/track/3d2JQX7krunAaZ07gtQhCG
64,"Te Gusta Hacerla","Eddy Lover",22348,https://open.spotify.com/track/2o2gdSF4k51YO18WEWY40v
65,Devuelveme,Ozuna,21999,https://open.spotify.com/track/5uvucCRBTkxv7VxIDLOqe7
66,"La Discusión",Sech,21669,https://open.spotify.com/track/2rJN09w9NKdmoLzlCeoMl4
67,"No Es Justo","J Balvin",21026,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
68,"Te Boté - Remix","Nio Garcia",20622,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
69,"Cama Vacia",Ozuna,20615,https://open.spotify.com/track/6sR4WtcYJOCXzDsDfY9PwV
70,Desenfreno,"El Boza",20398,https://open.spotify.com/track/27XFG3vN7apr63WeTCnB26
71,"Cuando Te Besé","Becky G",20242,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
72,"La Romana","Bad Bunny",19769,https://open.spotify.com/track/1khmgu0pveJbkbpbkyvcQv
73,"So High","Mr. Vegas",19569,https://open.spotify.com/track/41Q5dO5UhYF7ufAZ9wbWHa
74,Ráptame,Reik,19444,https://open.spotify.com/track/0I6syWcqSUsZ3sXJEOIGsj
75,"Ni Gucci Ni Prada - Remix","Kenny Man",19276,https://open.spotify.com/track/3EwnwCYCO2mnCoYj5NLhER
76,"Está Rico","Marc Anthony",19096,https://open.spotify.com/track/2wRkBumdItthjYP9XknImg
77,Mocca,"Lalo Ebratt",18512,https://open.spotify.com/track/0NKoPGc72yUKTIneVhFfg1
78,"La player (Bandolera)","Zion & Lennox",18496,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
79,"Baby Girl (feat. Lalo Ebratt)","Mario Bautista",18473,https://open.spotify.com/track/6o8ogTrSX8H0F66Pdz3Tsc
80,"Me Niego (feat. Ozuna & Wisin)",Reik,18445,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
81,"Llegaste Tú",CNCO,18397,https://open.spotify.com/track/6tT4Ks1N04Ut0lSQ3xjSaZ
82,"La Forma en Que Me Miras","Super Yei",17887,https://open.spotify.com/track/6t94PGXYAuo9GbJEnMpPcW
83,"Girls Like You (feat. Cardi B)","Maroon 5",17712,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
84,Shallow,"Lady Gaga",17665,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
85,"200 Mph","Bad Bunny",17582,https://open.spotify.com/track/5jGUJXnELDaDTgiRjD9lsg
86,"Estamos Bien","Bad Bunny",17211,https://open.spotify.com/track/2OWVCFTolecLiGZPquvWvT
87,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",16796,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
88,"Dancing With A Stranger (with Normani)","Sam Smith",16510,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
89,Aullando,"Wisin & Yandel",16391,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus
90,"Mala Mía",Maluma,16368,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
91,"Pa Mí","Dímelo Flow",16314,https://open.spotify.com/track/4glDjeIwMMMfU9jw2vYRpL
