,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
93,"Dancing With A Stranger (with Normani)","Sam Smith",43448,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
94,"Träume werden wahr",MERO,43364,https://open.spotify.com/track/2GxHx0bbc0BK7Z0ChMJUtO
95,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",43133,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
96,"Outta My Head (with John Mayer)",Khalid,42257,https://open.spotify.com/track/09oZ9eXQ2fo6YDrPzJqAoP
97,"Dior 2001",RIN,42140,https://open.spotify.com/track/2eNSyVH3sNPiAj9WpRYK73
98,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",41994,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
99,"Eastside (with Halsey & Khalid)","benny blanco",41697,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
100,"Hallo Hallo",Azet,41549,https://open.spotify.com/track/0RjhrAgD7bSYBi0fyqX616
101,"Wie Buffon",MERO,41493,https://open.spotify.com/track/09Yoq7UUSqh9aJSBoRMDfA
102,"Bones (feat. OneRepublic)",Galantis,41238,https://open.spotify.com/track/1pfgsjmxVZhoZpeDx6POKv
103,Hops,MERO,40424,https://open.spotify.com/track/4fgV3PU9JBlpJu0w4Yhr76
104,"Nummer unterdrückt","Bonez MC",40282,https://open.spotify.com/track/2SRVj6ceeIffVEm9NFyRHI
105,"Better Now","Post Malone",40213,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
106,"ROMEO & JULIET",Loredana,39951,https://open.spotify.com/track/3uB8KqnEoQq5bTQ1JFHJ7Y
107,"i love you","Billie Eilish",39901,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
108,"Hold My Girl","George Ezra",39843,https://open.spotify.com/track/42bbDWZ8WmXTH7PkYAlGLu
109,Allein,"Capital Bra",39726,https://open.spotify.com/track/4tW7mc0pab35DznfVlr3px
110,"Talk (feat. Disclosure)",Khalid,39284,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
111,Dunkel,Nimo,39209,https://open.spotify.com/track/7oucWf5O0GQOdUWTAIGP9u
112,"Love Someone","Lukas Graham",38961,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
113,"WTF (feat. Amber Van Day)",HUGEL,38919,https://open.spotify.com/track/0gn93i7HJt0calph67R5Wu
