,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
75,"Body (feat. brando)","Loud Luxury",59969,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
76,"no tears left to cry","Ariana Grande",58955,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
77,"Speechless (feat. Erika Sirola)","Robin Schulz",58929,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5
78,"God's Plan",Drake,58598,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
79,"Blah Blah Blah","Armin van Buuren",58251,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
80,"Love Someone","Lukas Graham",57936,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
81,Khapta,"Heuss L'enfoiré",55896,https://open.spotify.com/track/6stxV2bl7xSiPUornxwyNR
82,Polaroid,"Jonas Blue",55668,https://open.spotify.com/track/6XqvFyJGdUD5IWee02ARKU
83,Africa,TOTO,55565,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
84,"A Million Dreams",P!nk,55427,https://open.spotify.com/track/0oagwWkGlBoACUuKvTmqZV
85,Alone,Marshmello,55204,https://open.spotify.com/track/12mGwph2YzDIlChtq3EdXP
86,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,55143,https://open.spotify.com/track/20ZP3Om9DvDazXrNUC7WM2
87,Spiegel,"Tourist LeMC",54914,https://open.spotify.com/track/3ntgBmbCmFYu3hGpUscH7i
88,"Take It","Dom Dolla",54597,https://open.spotify.com/track/3ebXuBiCPdiJeaHRiY0djO
89,Thotiana,Blueface,53795,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
90,"On Fleek",Eva,53211,https://open.spotify.com/track/4MSFxqmkiMxq7e61jTqgqt
91,"Don't Stop Me Now - 2011 Mix",Queen,52461,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
92,"Leave a Light On","Tom Walker",52452,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
93,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",51881,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
94,Silence,Marshmello,51346,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
95,Wazabi,3robi,50777,https://open.spotify.com/track/6C0VgaDh8IpcqexnACFwRd
96,Madrina,Maes,49990,https://open.spotify.com/track/4miiqu2dxOhBguQDHtqssH
97,"Fire On Fire - From ""Watership Down""","Sam Smith",49956,https://open.spotify.com/track/5rFj8OzffT0iggSjcBaeND
98,IDGAF,"Dua Lipa",49785,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
99,"Wake Up in the Sky","Gucci Mane",49607,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
100,"Lie To Me (feat. Julia Michaels)","5 Seconds of Summer",49542,https://open.spotify.com/track/6GzApXoBQiiAjak3tOQfV3
101,"Havana (feat. Young Thug)","Camila Cabello",49360,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
102,"Jocelyn Flores",XXXTENTACION,48904,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
103,Perfect,"Ed Sheeran",48351,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
104,Octogone,Kaaris,48083,https://open.spotify.com/track/4groJLnv4zXjUZlhipBpXR
105,"Ruin My Life","Zara Larsson",48037,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
106,"La thune",Angèle,47964,https://open.spotify.com/track/3iBOe7U7kRPNIoL3QLCVu2
107,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",47653,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
