,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
125,"Jocelyn Flores",XXXTENTACION,50272,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
126,"Hotel California - 2013 Remaster",Eagles,50007,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv
127,Glitter,BENEE,49896,https://open.spotify.com/track/23TPP1eeElFfvYVznskwCY
128,"Who Do You Love","The Chainsmokers",49767,https://open.spotify.com/track/5QiNbIilmMiMBXvaAlf7lN
129,"break up with your girlfriend, i'm bored","Ariana Grande",49737,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
130,"Shotta Flow (Feat. Blueface) [Remix]","NLE Choppa",49721,https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS
131,"Evil Spider",BENEE,49534,https://open.spotify.com/track/0jeJE3TUJ5FrRuVLr7w4JQ
132,"ocean eyes","Billie Eilish",49142,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
133,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",48655,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA
134,Perfect,"Ed Sheeran",48127,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
135,"Old Town Road","Lil Nas X",47641,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
136,"MOOD 4 EVA (feat. Oumou Sangaré)",Beyoncé,47003,https://open.spotify.com/track/7oqftogUN82Q7VNy2TmTJW
137,Riptide,"Vance Joy",46806,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
138,SAD!,XXXTENTACION,46636,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
139,"High Hopes","Panic! At The Disco",46586,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
140,"Sweet Home Alabama","Lynyrd Skynyrd",46470,https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg
141,"Psycho (feat. Ty Dolla $ign)","Post Malone",46391,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
142,"No Role Modelz","J. Cole",46341,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
143,Thunder,"Imagine Dragons",45256,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
