,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
91,"Bright Blue Skies","Mitch James",61980,https://open.spotify.com/track/5zxwumO0laRosoeOvbVSvc
92,Closer,SIX60,61897,https://open.spotify.com/track/1kpSmoMmNm3pcCU7MTTpoJ
93,"Say You Won't Let Go","James Arthur",61557,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
94,Thunder,"Imagine Dragons",61340,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
95,broken,lovelytheband,60954,https://open.spotify.com/track/6XcfKZvJio9Z0fQy11GnNX
96,"The Middle",Zedd,60786,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
97,"Dreams - 2004 Remaster","Fleetwood Mac",60724,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
98,"ocean eyes","Billie Eilish",60392,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
99,"Young Dumb & Broke",Khalid,59689,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
100,"Mr. Brightside","The Killers",59656,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
101,"Fire On Fire - From ""Watership Down""","Sam Smith",59583,https://open.spotify.com/track/5rFj8OzffT0iggSjcBaeND
102,Grip,Seeb,59319,https://open.spotify.com/track/3gicyfiEVMGONgzygpWjNT
103,BAD!,XXXTENTACION,59127,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ
104,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,59035,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
105,"Nice For What",Drake,58912,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
106,"Havana (feat. Young Thug)","Camila Cabello",58522,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
107,Nonstop,Drake,58465,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
108,Trip,"Ella Mai",57786,https://open.spotify.com/track/6CTWathupIiDs7U4InHnDA
109,"Whatchamacallit (feat. Chris Brown)","Ella Mai",57742,https://open.spotify.com/track/1YLfaRr3QIW1fF3nvDO0gX
110,"3 Nights","Dominic Fike",57224,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
111,"Nights Like This (feat. Ty Dolla $ign)",Kehlani,57113,https://open.spotify.com/track/7e4KQkp5ZR1gXCAalRjX6B
112,"WHEN I WAS OLDER - Music Inspired By The Film ROMA","Billie Eilish",56737,https://open.spotify.com/track/7tGEAA1f8MydT7eVbbO9Zy
113,"Electricity (with Dua Lipa)","Silk City",56466,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
114,"Lucky You (feat. Joyner Lucas)",Eminem,56245,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
115,"Don’t Forget Your Roots",SIX60,56127,https://open.spotify.com/track/5mUiad5pDU1wFvIbtKgJKB
116,"Another One Bites The Dust - Remastered 2011",Queen,55726,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
117,"Best Part (feat. Daniel Caesar)",H.E.R.,55563,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
118,"Rum Rage","Sticky Fingers",55481,https://open.spotify.com/track/5uBK8Ap1BCEc4GgMcEjeic
119,"Too Good At Goodbyes","Sam Smith",55394,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
120,Waiting,KIAN,55327,https://open.spotify.com/track/0TBFJanfWaByPIi3f7RR82
121,Natural,"Imagine Dragons",55113,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
122,"Old News","Mitch James",55032,https://open.spotify.com/track/6o2bqHKLjiuVsa5vUvneAp
123,"No Brainer","DJ Khaled",54977,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
124,bellyache,"Billie Eilish",54951,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
